epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,587.298,0.68814,1.21596,0.98594,0.95885,1,0.995,0.90167,0.5061,1.47801,0.79796,0.0039012,0.0013004,0.0039012,0.0013004,0.0039012,0.0013004,0.0039012,0.0013004
55,600.707,0.63941,1.25239,0.95,0.97762,1,0.995,0.8955,0.50551,1.33703,0.79951,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
56,621.088,0.8176,1.18598,0.9799,0.97762,1,0.995,0.8955,0.50551,1.33703,0.79951,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
57,639.068,0.66348,1.15302,0.95303,0.98094,1,0.995,0.88259,0.53788,1.28263,0.81094,0.0037824,0.0012608,0.0037824,0.0012608,0.0037824,0.0012608,0.0037824,0.0012608
58,655.87,0.66964,1.19721,0.98223,0.98094,1,0.995,0.88259,0.53788,1.28263,0.81094,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
59,676.531,0.59539,1.04637,0.93571,0.98094,1,0.995,0.88259,0.53788,1.28263,0.81094,0.0037032,0.0012344,0.0037032,0.0012344,0.0037032,0.0012344,0.0037032,0.0012344
60,699.192,0.74969,1.19663,0.98219,0.98391,1,0.995,0.89927,0.49258,1.21872,0.80601,0.0036636,0.0012212,0.0036636,0.0012212,0.0036636,0.0012212,0.0036636,0.0012212
61,742.154,0.64963,1.08891,0.96176,0.98391,1,0.995,0.89927,0.49258,1.21872,0.80601,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
62,761.786,0.74884,1.0936,1.0224,0.98391,1,0.995,0.89927,0.49258,1.21872,0.80601,0.0035844,0.0011948,0.0035844,0.0011948,0.0035844,0.0011948,0.0035844,0.0011948
63,777.4,0.73811,1.14673,0.99886,0.98335,1,0.995,0.92009,0.47105,1.19122,0.80058,0.0035448,0.0011816,0.0035448,0.0011816,0.0035448,0.0011816,0.0035448,0.0011816
64,803.577,0.85264,1.21156,1.07894,0.98335,1,0.995,0.92009,0.47105,1.19122,0.80058,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
65,823.028,0.72705,1.30358,1.01316,0.98455,1,0.995,0.92009,0.45449,1.21226,0.79153,0.0034656,0.0011552,0.0034656,0.0011552,0.0034656,0.0011552,0.0034656,0.0011552
66,840.12,0.69436,1.02131,0.9525,0.98455,1,0.995,0.92009,0.45449,1.21226,0.79153,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
67,855.793,0.69676,1.16185,0.98225,0.98455,1,0.995,0.92009,0.45449,1.21226,0.79153,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
68,872.066,0.69688,1.18986,1.01978,0.98478,1,0.995,0.92009,0.45152,1.1765,0.78919,0.0033468,0.0011156,0.0033468,0.0011156,0.0033468,0.0011156,0.0033468,0.0011156
69,887.443,0.61815,1.05759,0.96326,0.98478,1,0.995,0.92009,0.45152,1.1765,0.78919,0.0033072,0.0011024,0.0033072,0.0011024,0.0033072,0.0011024,0.0033072,0.0011024
70,903.001,0.68964,1.04681,0.97535,0.98478,1,0.995,0.92009,0.45152,1.1765,0.78919,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
71,919.405,0.69378,1.09955,0.99147,0.98364,1,0.995,0.92009,0.446,1.12471,0.79008,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
72,933.669,0.64199,0.94513,0.92887,0.98364,1,0.995,0.92009,0.446,1.12471,0.79008,0.0031884,0.0010628,0.0031884,0.0010628,0.0031884,0.0010628,0.0031884,0.0010628
73,948.135,0.65655,1.02638,0.99523,0.98269,1,0.995,0.8951,0.45489,1.13074,0.79308,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
74,965.259,0.64627,1.03495,0.98157,0.98269,1,0.995,0.8951,0.45489,1.13074,0.79308,0.0031092,0.0010364,0.0031092,0.0010364,0.0031092,0.0010364,0.0031092,0.0010364
75,979.313,0.65344,1.08497,0.94784,0.98269,1,0.995,0.8951,0.45489,1.13074,0.79308,0.0030696,0.0010232,0.0030696,0.0010232,0.0030696,0.0010232,0.0030696,0.0010232
76,993.819,0.60757,1.02163,0.95864,0.98147,1,0.995,0.92009,0.43248,1.1148,0.78806,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
77,1007.74,0.61409,1.08357,0.94546,0.98147,1,0.995,0.92009,0.43248,1.1148,0.78806,0.0029904,0.0009968,0.0029904,0.0009968,0.0029904,0.0009968,0.0029904,0.0009968
78,1021.84,0.73675,1.01167,0.99542,0.98147,1,0.995,0.92009,0.43248,1.1148,0.78806,0.0029508,0.0009836,0.0029508,0.0009836,0.0029508,0.0009836,0.0029508,0.0009836
79,1036.91,0.74084,1.07623,0.99383,0.9827,1,0.995,0.90784,0.41675,1.09417,0.79273,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
80,1050.51,0.72017,1.05362,1.03141,0.9827,1,0.995,0.90784,0.41675,1.09417,0.79273,0.0028716,0.0009572,0.0028716,0.0009572,0.0028716,0.0009572,0.0028716,0.0009572
81,1064.98,0.64702,1.09391,0.98843,0.99418,1,0.995,0.90784,0.4446,1.1176,0.7843,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
